topic,doc1,doc2,doc3,doc4,doc5,doc6,doc7,doc8,doc9,doc10,doc11,doc12,doc13,doc14,doc15,doc16,doc17,doc18
402,FT934-4660,FT943-15629,LA111689-0162,FT934-4660,LA111689-0162,FT931-10925,LA111689-0162,FR940817-2-00240,FR940817-2-00240,FT934-4660,FR940817-2-00263,FR940817-2-00240,FR940817-2-00263,FT943-15629,FT931-10925,FR940817-2-00263,FT931-10925,FT943-15629
402,FR940323-2-00097,FT931-2736,FT931-2736,FR940817-2-00228,LA062289-0068,FR940817-2-00228,LA081490-0123,FR940817-2-00228,LA081490-0123,FR940323-2-00097,FR940323-2-00097,FBIS4-49251,FT931-2736,FBIS4-49251,LA062289-0068,FBIS4-49251,LA062289-0068,LA081490-0123
402,LA040990-0045,FR940817-2-00238,LA040990-0045,FT944-12908,LA040990-0045,FR940817-2-00231,FR940817-2-00238,FR940817-2-00231,FR940817-2-00231,FT944-6606,FT944-6606,FT944-12908,FT944-12908,LA020590-0053,FR940817-2-00238,LA020590-0053,FT944-6606,LA020590-0053
402,FR940817-2-00230,FBIS4-44458,FT933-13787,FBIS4-44458,FT933-13787,FT934-2039,FT933-13787,FR940817-2-00242,FR940817-2-00242,LA021689-0115,LA021689-0115,FBIS4-44458,LA021689-0115,FR940817-2-00230,FR940817-2-00230,FT934-2039,FR940817-2-00242,FT934-2039
402,FR940516-2-00062,FBIS3-43036,FR940516-2-00062,FR940204-2-00090,FR940516-2-00062,FBIS4-20645,FBIS4-20645,FBIS3-43036,FBIS3-42766,FBIS4-20645,FBIS3-42766,FR940204-2-00090,FR940204-2-00090,FT943-4851,FT943-4851,FBIS3-43036,FBIS3-42766,FT943-4851
402,FT941-3180,FT933-6719,FT941-3180,FT922-7420,LA041790-0126,FT922-7420,LA041790-0126,FT933-6719,LA070390-0117,FT933-6719,LA070390-0117,FT922-7420,LA070390-0117,LA100889-0040,FT941-3180,LA100889-0040,LA041790-0126,LA100889-0040
402,FR940817-2-00251,FBIS4-20522,FR940817-2-00251,FT931-5795,FT931-5795,FR940812-2-00254,FT931-5795,FBIS3-45203,FBIS3-45203,FR940812-2-00254,FBIS4-20522,FR940812-2-00254,FBIS4-20522,LA010989-0047,FR940817-2-00251,LA010989-0047,FBIS3-45203,LA010989-0047
402,FR940817-2-00243,FR940802-1-00015,FR940817-2-00243,LA071689-0207,FR940817-2-00243,FT942-3637,LA112090-0153,FT942-3637,FT942-3637,FR940802-1-00015,FT932-13552,FR940802-1-00015,FT932-13552,LA112090-0153,LA112090-0153,LA071689-0207,FT932-13552,LA071689-0207
402,LA041990-0068,LA060590-0115,FR940906-2-00048,LA060590-0115,LA060589-0049,FR940906-2-00048,LA060589-0049,FR940817-2-00239,LA060589-0049,LA041990-0068,LA041990-0068,FR940817-2-00239,FT934-11565,FR940817-2-00239,FT934-11565,FR940906-2-00048,FT934-11565,LA060590-0115
402,LA073090-0057,FR940817-2-00253,LA062590-0042,FR940817-2-00253,LA062590-0042,LA100589-0130,LA062590-0042,FT933-16692,FR940817-2-00253,FT933-16692,FT943-16744,FT933-16692,FT943-16744,LA100589-0130,LA073090-0057,LA100589-0130,LA073090-0057,FT943-16744
402,LA101390-0155,LA120389-0120,LA120389-0120,FBIS3-40327,FT932-282,FBIS3-40327,FT932-282,FBIS3-10134,FT932-282,FBIS4-26716,LA120389-0120,FBIS4-26716,LA101390-0155,FBIS4-26716,LA101390-0155,FBIS3-10134,FBIS3-10134,FBIS3-40327
402,FR940711-2-00084,LA100189-0053,LA112189-0147,LA100189-0053,LA100189-0053,LA101290-0115,LA101290-0115,LA122589-0046,FR940711-2-00084,LA122589-0046,FR940711-2-00084,FR940817-2-00241,FR940817-2-00241,LA101290-0115,LA112189-0147,FR940817-2-00241,LA112189-0147,LA122589-0046
402,LA013190-0169,LA072989-0066,LA013190-0169,LA050789-0122,LA013190-0169,FR940817-2-00236,LA072989-0066,FR940817-2-00236,FR940705-2-00171,LA072989-0066,FR940705-2-00171,FR940817-2-00252,FR940705-2-00171,LA050789-0122,FR940817-2-00252,LA050789-0122,FR940817-2-00252,FR940817-2-00236
402,LA042990-0020,FR940817-2-00237,FR940104-2-00085,FR940817-2-00237,FT944-15804,FR940817-2-00237,FT944-15804,LA050989-0168,FT944-15804,FR940104-2-00085,FR940104-2-00085,LA051989-0006,LA050989-0168,LA051989-0006,LA042990-0020,LA050989-0168,LA042990-0020,LA051989-0006
402,FT934-2739,FR941227-0-00016,FT934-2739,LA121189-0004,FT934-2739,LA101589-0047,LA101589-0047,LA090789-0104,LA101589-0047,LA062890-0104,LA121189-0004,LA062890-0104,LA090789-0104,LA121189-0004,FR941227-0-00016,LA090789-0104,FR941227-0-00016,LA062890-0104
402,LA042990-0032,FBIS4-67439,FT922-715,FBIS4-67439,FR940630-2-00002,FBIS4-67439,LA042990-0032,FR940630-2-00002,FT922-5737,FR940630-2-00002,FT922-5737,FT933-11998,FT922-5737,FT922-715,FT933-11998,FT922-715,LA042990-0032,FT933-11998
402,FBIS4-52043,FR940817-2-00235,FR941128-2-00003,FR940817-2-00235,FR941128-2-00003,FT932-7262,FBIS4-52043,FT932-7262,FR940812-2-00253,FBIS4-52043,FR940812-2-00253,FR941128-2-00003,FR940812-2-00253,FR941110-1-00115,FT932-7262,FR941110-1-00115,FR941110-1-00115,FR940817-2-00235
402,FR940817-2-00229,FT924-6386,LA091589-0015,FT924-6386,LA111590-0041,FT924-6386,LA111590-0041,FBIS3-27407,LA073090-0056,LA111590-0041,LA073090-0056,FBIS3-27407,LA091589-0015,FBIS3-27407,FR940817-2-00229,LA091589-0015,LA073090-0056,FR940817-2-00229
402,LA102390-0093,FR940725-0-00048,LA102390-0093,FR941026-1-00016,FR941026-1-00016,FR940525-2-00048,FT931-9496,FR940525-2-00048,FR940525-2-00048,FR940725-0-00048,FT931-9496,FR940725-0-00048,FT931-9496,LA090389-0004,LA102390-0093,LA090389-0004,FR941026-1-00016,LA090389-0004
402,FT923-3820,LA020190-0043,FT923-3820,LA062089-0028,FT923-3820,FR940405-1-00062,FBIS4-1549,FR940405-1-00062,FBIS4-1549,FBIS4-23016,FBIS4-23016,FR940405-1-00062,LA062089-0028,FBIS4-23016,LA062089-0028,LA020190-0043,FBIS4-1549,LA020190-0043
402,LA030690-0044,FR940816-1-00081,LA030690-0044,LA101690-0121,LA101690-0121,FBIS3-59756,LA101690-0121,LA093089-0065,LA100790-0251,LA093089-0065,FR940816-1-00081,LA093089-0065,FR940816-1-00081,FBIS3-59756,LA100790-0251,FBIS3-59756,LA030690-0044,LA100790-0251
402,FR940513-2-00008,FR940928-2-00056,FR940513-2-00008,FR940613-2-00064,FR940613-2-00064,FR940928-2-00056,FR940928-2-00056,FT921-11140,FR941017-1-00041,FT921-11140,FT933-5693,FT921-11140,FR940513-2-00008,FT933-5693,FR941017-1-00041,FT933-5693,FR941017-1-00041,FR940613-2-00064
402,FBIS3-40654,FR940127-2-00018,LA110590-0024,FR940127-2-00018,LA110590-0024,LA032290-0148,LA032290-0148,FR940127-2-00018,FBIS4-60762,LA032290-0148,FBIS4-60762,LA042690-0069,FBIS4-60762,FBIS3-40654,LA042690-0069,FBIS3-40654,LA042690-0069,LA110590-0024
402,FR940817-2-00249,FT934-1290,FBIS4-22896,FT934-1290,FR940413-2-00074,FT934-1290,FR940413-2-00074,FBIS4-22896,FR940413-2-00074,FR941213-2-00003,FR940817-2-00249,FR941213-2-00003,FR940817-2-00249,FR940817-2-00234,FBIS4-22896,FR940817-2-00234,FR940817-2-00234,FR941213-2-00003
402,FBIS3-20885,FR940224-2-00089,LA011389-0056,FR940224-2-00089,FBIS3-23649,FR940224-2-00089,LA011389-0056,FBIS3-23649,LA011389-0056,FR940426-1-00113,FBIS3-20885,FR940426-1-00113,FBIS3-20885,FT923-7735,FR940426-1-00113,FT923-7735,FT923-7735,FBIS3-23649
402,FR940817-2-00233,FT942-15517,FT933-2692,FT942-15517,LA070590-0178,FT933-2692,FR940817-2-00233,FT933-2692,FR940817-2-00233,FT921-14452,LA070590-0178,FT921-14452,LA100889-0041,FT921-14452,LA070590-0178,LA100889-0041,LA100889-0041,FT942-15517