topic,relevant num,highest tau (ap-rbp),p
401,300,0.939438,0.997
402,80,0.908188,0.989
403,21,0.947674,0.937
404,142,0.854651,0.996
405,38,0.925145,0.967
406,13,0.906977,0.918
407,68,0.940649,0.985
408,118,0.816376,0.991
409,22,0.844961,0.927
410,65,0.943556,0.983
411,27,0.926114,0.928
412,123,0.932171,0.989
413,69,0.922238,0.982
414,39,0.847626,0.979
415,136,0.953973,0.992
416,42,0.87718,0.978
417,75,0.921754,0.987
418,116,0.937742,0.992
419,16,0.879118,0.953
420,33,0.932897,0.935
421,83,0.856105,0.994
422,152,0.944041,0.988
423,21,0.938953,0.929
424,171,0.912306,0.993
425,162,0.937016,0.993
426,202,0.933382,0.994
427,50,0.87718,0.984
428,118,0.931928,0.993
429,11,0.900921,0.928
430,6,0.887112,0.79
431,130,0.907946,0.994
432,28,0.904797,0.997
433,13,0.869913,0.878
434,347,0.936531,0.996
435,117,0.922481,0.992
436,180,0.903101,0.993
437,72,0.830184,0.997
438,173,0.908672,0.995
439,219,0.924661,0.998
440,54,0.917636,0.973
441,17,0.878149,0.945
442,94,0.868217,0.992
443,102,0.833576,0.991
444,17,0.970446,0.936
445,62,0.8922,0.987
446,162,0.949612,0.994
447,16,0.929506,0.95
448,46,0.859012,0.935
449,67,0.751453,0.947
450,293,0.920785,0.996